Customer ID,Customer Name,Total_Spend,Total_Orders,Total_Profit,Avg_Order_Value,Spend_Tile,Customer_Segment
SM-20320,Sean Miller,25043.05,5,-1980.74,1669.54,1,VIP Customer
TC-20980,Tamara Chand,19052.22,5,8981.32,1587.68,1,VIP Customer
RB-19360,Raymond Buch,15117.34,6,6976.1,839.85,1,VIP Customer
TA-21385,Tom Ashbrook,14595.62,4,4703.79,1459.56,1,VIP Customer
AB-10105,Adrian Barton,14473.57,10,5444.81,723.68,1,VIP Customer
KL-16645,Ken Lonsdale,14175.23,12,806.86,488.8,1,VIP Customer
SC-20095,Sanjit Chand,14142.33,9,5757.41,642.83,1,VIP Customer
HL-15040,Hunter Lopez,12873.3,6,5622.43,1170.3,1,VIP Customer
SE-20110,Sanjit Engle,12209.44,11,2650.68,642.6,1,VIP Customer
CC-12370,Christopher Conant,12129.07,5,2177.05,1102.64,1,VIP Customer
TS-21370,Todd Sumrall,11891.75,6,2371.71,792.78,1,VIP Customer
GT-14710,Greg Tran,11820.12,11,2163.43,407.59,1,VIP Customer
BM-11140,Becky Martin,11789.63,4,-1659.96,736.85,1,VIP Customer
SV-20365,Seth Vernon,11470.95,10,1199.42,358.47,1,VIP Customer
CJ-12010,Caroline Jumper,11164.97,8,858.74,558.25,1,VIP Customer
CL-12565,Clay Ludtke,10880.55,12,1933.78,388.59,1,VIP Customer
ME-17320,Maria Etezadi,10663.73,10,1859.47,484.71,1,VIP Customer
KF-16285,Karen Ferguson,10604.27,7,1660.14,589.13,1,VIP Customer
BS-11365,Bill Shonely,10501.65,5,2616.06,1166.85,1,VIP Customer
EH-13765,Edward Hooks,10310.88,12,1393.52,322.22,1,VIP Customer
JL-15835,John Lee,9799.92,11,228.91,288.23,1,VIP Customer
GT-14635,Grant Thornton,9351.21,3,-4108.66,1558.54,1,VIP Customer
HW-14935,Helen Wasserman,9300.25,8,2164.16,465.01,1,VIP Customer
TB-21400,Tom Boeckenhauer,9133.99,7,2798.37,537.29,1,VIP Customer
PF-19120,Peter Fuller,9062.86,4,-614.29,476.99,1,VIP Customer
CM-12385,Christopher Martinez,8954.02,4,3899.89,895.4,1,VIP Customer
JD-16150,Justin Deggeller,8828.03,8,1619.52,519.3,1,VIP Customer
JE-15715,Joe Elijah,8697.84,10,1262.29,395.36,1,VIP Customer
LA-16780,Laura Armstrong,8673.22,11,2059.12,333.59,1,VIP Customer
PK-19075,Pete Kriz,8646.93,12,2038.27,345.88,1,VIP Customer
DR-12940,Daniel Raglin,8350.87,8,2869.08,642.37,1,VIP Customer
NF-18385,Natalie Fritzler,8322.83,7,-1695.97,594.49,1,VIP Customer
KD-16270,Karen Daniels,8282.36,5,1107.7,517.65,1,VIP Customer
NC-18535,Nick Crebassa,8241.74,7,1314.76,549.45,1,VIP Customer
HM-14860,Harry Marie,8236.76,10,2437.98,411.84,1,VIP Customer
KD-16495,Keith Dawkins,8181.26,12,3038.63,292.19,1,VIP Customer
SB-20290,Sean Braxton,8057.89,7,-2082.75,473.99,1,VIP Customer
ZC-21910,Zuschuss Carroll,8025.71,13,-1032.15,258.89,1,VIP Customer
JH-15985,Joseph Holt,7955.0,6,-644.7,568.21,1,VIP Customer
NP-18700,Nora Preis,7903.18,7,631.23,607.94,1,VIP Customer
AH-10690,Anna HÃ¤berlin,7888.29,12,1298.02,342.97,1,VIP Customer
AB-10060,Adam Bellavance,7755.62,8,2054.59,430.87,1,VIP Customer
JE-15610,Jim Epp,7754.98,7,1623.4,387.75,1,VIP Customer
JW-15220,Jane Waco,7721.71,6,2173.71,551.55,1,VIP Customer
LC-16885,Lena Creighton,7663.13,12,1288.35,333.18,1,VIP Customer
JM-15865,John Murray,7625.08,7,1574.62,586.54,1,VIP Customer
JD-15895,Jonathan Doherty,7610.86,11,1050.27,237.84,1,VIP Customer
PO-18850,Patrick O'Brill,7473.83,11,38.48,339.72,1,VIP Customer
MS-17365,Maribeth Schnelling,7443.69,10,844.94,310.15,1,VIP Customer
RW-19540,Rick Wilson,7397.4,7,1586.63,321.63,1,VIP Customer
BM-11650,Brian Moss,7294.19,11,2199.28,251.52,1,VIP Customer
PP-18955,Paul Prost,7252.61,10,1495.09,213.31,1,VIP Customer
NW-18400,Natalie Webber,7234.01,7,1023.12,328.82,1,VIP Customer
Dp-13240,Dean percer,7198.76,11,333.36,248.23,1,VIP Customer
FH-14365,Fred Hopkins,6987.2,8,2050.28,537.48,1,VIP Customer
RH-19510,Rick Huthwaite,6979.18,6,1289.45,581.6,1,VIP Customer
PS-19045,Penelope Sewall,6843.63,7,1742.73,526.43,1,VIP Customer
BB-11545,Brenda Bowman,6765.73,9,1015.08,338.29,1,VIP Customer
JE-15745,Joel Eaton,6760.82,13,221.8,293.95,1,VIP Customer
YS-21880,Yana Sorensen,6720.44,8,1778.29,560.04,1,VIP Customer
AR-10540,Andy Reiter,6608.45,6,2884.62,734.27,1,VIP Customer
DR-12880,Dan Reichenbach,6528.03,9,1641.86,272.0,1,VIP Customer
GK-14620,Grace Kelly,6497.27,9,1448.55,464.09,1,VIP Customer
JA-15970,Joseph Airdo,6491.03,8,-819.42,270.46,1,VIP Customer
NM-18445,Nathan Mautz,6459.34,7,2751.68,461.38,1,VIP Customer
VD-21670,Valerie Dominguez,6442.25,6,1617.79,402.64,1,VIP Customer
SB-20185,Sarah Brown,6411.0,6,885.46,534.25,1,VIP Customer
JG-15160,James Galang,6366.39,11,1415.67,353.69,1,VIP Customer
DM-13015,Darrin Martin,6345.1,7,1677.39,317.26,1,VIP Customer
CM-12655,Corinna Mitchell,6339.56,6,1572.46,633.96,1,VIP Customer
MJ-17740,Max Jones,6320.75,7,1054.55,421.38,1,VIP Customer
BH-11710,Brosina Hoffman,6255.35,8,802.79,260.64,1,VIP Customer
RL-19615,Rob Lucas,6234.91,8,488.15,259.79,1,VIP Customer
WB-21850,William Brown,6160.1,11,714.33,166.49,1,VIP Customer
VW-21775,Victoria Wilson,6134.04,10,-874.66,340.78,1,VIP Customer
SD-20485,Shirley Daniels,6121.11,9,1985.17,291.48,1,VIP Customer
QJ-19255,Quincy Jones,6108.34,9,1203.68,469.87,1,VIP Customer
AD-10180,Alan Dominguez,6106.88,8,1869.93,508.91,1,VIP Customer
CB-12025,Cassandra Brandow,6076.14,10,150.21,233.7,1,VIP Customer
GM-14695,Greg Maxwell,6049.97,3,188.72,550.0,1,VIP Customer
SC-20380,Shahid Collister,5992.54,9,236.66,299.63,2,High Value
KH-16690,Kristen Hastings,5990.8,7,1227.51,399.39,2,High Value
RM-19675,Robert Marley,5979.1,5,1902.54,543.55,2,High Value
KH-16510,Keith Herrera,5952.86,7,656.12,258.82,2,High Value
BF-11170,Ben Ferrer,5907.97,11,1538.21,218.81,2,High Value
CP-12340,Christine Phan,5888.28,8,-1850.3,392.55,2,High Value
BD-11320,Bill Donatelli,5718.52,12,1094.5,300.97,2,High Value
CS-12505,Cindy Stewart,5690.06,6,-6626.39,632.23,2,High Value
AM-10705,Anne McFarland,5664.02,8,1085.73,257.46,2,High Value
RB-19795,Ross Baird,5633.32,8,-461.73,312.96,2,High Value
KM-16375,Katherine Murray,5620.19,8,973.79,281.01,2,High Value
AA-10315,Alex Avila,5563.56,5,-362.88,505.78,2,High Value
SM-20950,Suzanne McNair,5563.39,12,581.57,252.88,2,High Value
NP-18325,Naresj Patel,5529.62,6,1208.89,263.32,2,High Value
AC-10450,Amy Cox,5527.85,7,1366.01,614.21,2,High Value
MH-18115,Mick Hernandez,5503.09,9,170.97,250.14,2,High Value
DP-13390,Dennis Pardue,5480.72,9,1571.83,391.48,2,High Value
EP-13915,Emily Phan,5478.06,17,144.96,176.71,2,High Value
YC-21895,Yoseph Carroll,5454.35,5,1305.63,681.79,2,High Value
SP-20620,Stefania Perrino,5440.32,9,-270.43,226.68,2,High Value
LW-17215,Luke Weiss,5420.51,7,837.24,361.37,2,High Value
CP-12085,Cathy Prescott,5402.25,8,427.03,385.88,2,High Value
TS-21205,Thomas Seio,5371.09,7,862.89,282.69,2,High Value
TT-21460,Tonja Turnell,5364.81,7,1124.5,383.2,2,High Value
MW-18220,Mitch Webber,5341.9,7,1238.42,381.56,2,High Value
TP-21415,Tom Prescott,5329.0,5,-1087.39,532.9,2,High Value
TW-21025,Tamara Willingham,5278.83,7,737.39,439.9,2,High Value
DW-13480,Dianna Wilson,5271.63,5,1348.76,479.24,2,High Value
MW-18235,Mitch Willingham,5253.88,2,1665.52,1751.29,2,High Value
HR-14830,Harold Ryan,5248.79,7,1196.95,374.91,2,High Value
SC-20725,Steven Cartwright,5226.21,11,1276.65,201.01,2,High Value
